,Feature,Importance
226,JOB_SEARCH_WEBSITE_FROM_DATE,0.006431225273602986
151,EMP_CONTACT_POSTAL_CODE,0.006285754582296397
40,PW_AMOUNT_9089,0.006281883646879299
114,FOREIGN_WORKER_INFO_STATE,0.005969155594586669
116,COUNTRY_OF_CITIZENSHIP,0.005894856460216191
51,JOB_INFO_WORK_POSTAL_CODE,0.005836853449786763
122,FOREIGN_WORKER_INFO_INST,0.005816772271494335
50,JOB_INFO_WORK_STATE,0.005781337569948914
157,AGENT_ATTORNEY_ADDRESS_1,0.005559254646940316
105,RI_LOCAL_ETHNIC_PAPER_TO,0.005515919126851461
8,EMPLOYER_YEAR_COMMENCED_BUSINESS,0.005482418242693081
93,RI_EMPLOYER_WEB_POST_TO,0.005342555442288114
104,RI_LOCAL_ETHNIC_PAPER_FROM,0.0053263223907391586
213,FIRST_NEWSPAPER_NAME,0.00526169470862184
92,RI_EMPLOYER_WEB_POST_FROM,0.005197130204236726
148,EMP_CONTACT_CITY,0.005136463941468029
166,PW_WAGE,0.005100222289991343
267,EMP_DECL_TITLE,0.004887831798000412
130,NAICS_US_CODE,0.004863086226249548
264,EMP_INFO_DECL_NAME,0.0048020629446238056
49,JOB_INFO_WORK_CITY,0.004593472161527858
129,EMPLOYER_DECL_INFO_TITLE,0.004480730403275553
234,LOCAL_ETHNIC_PAPER_FROM_DATE,0.00445081618394883
46,WAGE_OFFER_FROM_9089,0.004436913830127769
144,NAICS_CODE,0.004422033176961597
235,LOCAL_ETHNIC_PAPER_TO_DATE,0.004306173319724212
33,AGENT_FIRM_NAME,0.004246626076254433
246,FOREIGN_WORKER_INST_OF_ED,0.004081593755334562
6,FW_INFO_YR_REL_EDU_COMPLETED,0.0040785324683495485
85,RI_2ND_AD_NEWSPAPER_NAME,0.004006087747164516
153,EMP_CONTACT_EMAIL,0.0039712685680495605
1,EMPLOYER_YR_ESTAB,0.0038543354728847175
249,FOREIGN_WORKER_ED_INST_CITY,0.0038088618896755656
55,JOB_INFO_MAJOR,0.0038007058438094847
118,CLASS_OF_ADMISSION,0.0037626701541698315
197,SPECIFIC_SKILLS,0.003759584156134447
25,EMPLOYER_ADDRESS_2,0.0037362216876752874
83,RI_1ST_AD_NEWSPAPER_NAME,0.003720280535441598
172,WAGE_OFFER_FROM,0.0037037818305162094
180,JOB_TITLE,0.003668501351525279
143,EMPLOYER_STATE_PROVINCE,0.0036138923469288767
34,AGENT_CITY,0.003605744775910721
145,EMP_CONTACT_NAME,0.003526243168660822
35,AGENT_STATE,0.0033913972631896376
131,NAICS_US_TITLE,0.003371455626831284
247,FOREIGN_WORKER_ED_INST_ADD_1,0.00337001645231845
252,FOREIGN_WORKER_ED_INST_POST_CD,0.0032958508456624735
146,EMP_CONTACT_ADDRESS_1,0.003265650996685171
163,AGENT_ATTORNEY_EMAIL,0.00326564173214564
159,AGENT_ATTORNEY_CITY,0.003261705780831144
177,WORKSITE_CITY,0.003211786951790546
263,PREPARER_EMAIL,0.0032094041273866775
137,PW_JOB_TITLE_9089,0.0031754709124356744
14,FOREIGN_WORKER_YRS_ED_COMP,0.003162849275911406
66,JOB_INFO_ALT_OCC_JOB_TITLE,0.003148334385302116
155,AGENT_ATTORNEY_FIRM_NAME,0.003140945868088613
132,PW_Job_Title_9089,0.003121900387497192
101,RI_EMPLOYEE_REFERRAL_PROG_TO,0.0031006836419638466
149,EMP_CONTACT_STATE_PROVINCE,0.003096838475235308
223,EMPLOYER_WEBSITE_TO_DATE,0.003058191306771676
265,EMP_INFO_DECL_TITLE,0.0030098013978342615
117,FW_INFO_BIRTH_COUNTRY,0.0029466996431097843
100,RI_EMPLOYEE_REFERRAL_PROG_FROM,0.002916624113344488
222,EMPLOYER_WEBSITE_FROM_DATE,0.0028790849466215
65,JOB_INFO_ALT_OCC,0.002837305223546478
250,FOREIGN_WORKER_ED_INST_STATE_P,0.0027869658205291574
162,AGENT_ATTORNEY_POSTAL_CODE,0.0027343180906356985
183,MAJOR_FIELD_OF_STUDY,0.002675253091396998
128,PREPARER_INFO_TITLE,0.0026491739868236917
194,ACCEPT_ALT_JOB_TITLE,0.0026184282590683617
178,WORKSITE_STATE,0.002581324623072616
60,JOB_INFO_ALT_FIELD_NAME,0.0024727495430397054
158,AGENT_ATTORNEY_ADDRESS_2,0.0024401602690638687
243,FOREIGN_WORKER_BIRTH_COUNTRY,0.0023847211528138573
160,AGENT_ATTORNEY_STATE_PROVINCE,0.00238269184683076
173,WAGE_OFFER_TO,0.002125134089464857
188,ACCEPT_ALT_MAJOR_FLD_OF_STUDY,0.0021198999278150047
262,PREPARER_TITLE,0.002002421117430579
231,EMPLOYEE_REFERRAL_PROG_TO_DATE,0.0018573183238382634
31,EMPLOYER_PHONE_EXT,0.0018216893305621948
147,EMP_CONTACT_ADDRESS_2,0.001790298935958099
47,WAGE_OFFER_TO_9089,0.0017339868128041682
230,EMPLOYEE_REF_PROG_FROM_DATE,0.0017188642059893888
95,RECR_INFO_PRO_ORG_ADVERT_TO,0.0016884886466820152
176,WORKSITE_ADDRESS_2,0.0016856001461460137
5,JOB_INFO_ALT_OCC_NUM_MONTHS,0.001660382278401076
3,JOB_INFO_EXPERIENCE_NUM_MONTHS,0.0016119853364997383
94,RECR_INFO_PRO_ORG_ADVERT_FROM,0.0016059758851551542
126,FW_INFO_REL_OCCUP_EXP,0.0015713543058145265
136,FW_INFO_REL_OCCUP_EXPERIENCE,0.0015444446651259863
39,PW_LEVEL_9089,0.0014854897998777428
124,FW_INFO_REQ_EXPERIENCE,0.0014130845619166838
13,ACCEPT_ALT_OCCUPATION_MONTHS,0.0013862761187068654
119,FOREIGN_WORKER_INFO_EDUCATION,0.0013551224593189295
11,REQUIRED_EXPERIENCE_MONTHS,0.0013340352064861727
138,WAGE_OFFERED_FROM_9089,0.0012617017358486607
224,PRO_ORG_AD_FROM_DATE,0.0012612110950303858
251,FOREIGN_WORKER_ED_INST_COUNTRY,0.001240979947954843
103,RI_CAMPUS_PLACEMENT_TO,0.0012303952073211572
58,JOB_INFO_EXPERIENCE,0.0012200781141521169
165,PW_SKILL_LEVEL,0.0011830757981635127
225,PRO_ORG_ADVERTISEMENT_TO_DATE,0.0011794308000235803
102,RI_CAMPUS_PLACEMENT_FROM,0.0011572372274810117
53,JOB_INFO_EDUCATION,0.0011412419080683873
125,FW_INFO_ALT_EDU_EXPERIENCE,0.0011203907924206826
236,RADIO_TV_AD_FROM_DATE,0.001058431041543556
107,RECR_INFO_RADIO_TV_AD_TO,0.001022607498527222
74,RECR_INFO_PROFESSIONAL_OCC,0.0009987969129550706
141,PW_JOB_TITLE,0.0009932967269588456
59,JOB_INFO_ALT_FIELD,0.0009619945672559176
67,JOB_INFO_JOB_REQ_NORMAL,0.0009592620012818019
106,RECR_INFO_RADIO_TV_AD_FROM,0.0009555036915354358
237,RADIO_TV_AD_TO_DATE,0.0009511810961004276
244,FOREIGN_WORKER_EDUCATION,0.000938938226052193
248,FOREIGN_WORKER_ED_INST_ADD_2,0.0008807871578298048
181,MINIMUM_EDUCATION,0.0008496991976833883
99,RI_PVT_EMPLOYMENT_FIRM_TO,0.0007752650031843937
203,PROFESSIONAL_OCCUPATION,0.0007729011780366899
64,JOB_INFO_FOREIGN_ED,0.0007627094719630423
4,JOB_INFO_ALT_CMB_ED_OTH_YRS,0.000753041641009219
233,CAMPUS_PLACEMENT_TO_DATE,0.0007095337017536357
232,CAMPUS_PLACEMENT_FROM_DATE,0.0006684855150603888
98,RI_PVT_EMPLOYMENT_FIRM_FROM,0.0006446356229208782
127,PREPARER_INFO_EMP_COMPLETED,0.0006408246739267855
193,ACCEPT_ALT_OCCUPATION,0.0006404525416872805
259,FOREIGN_WORKER_CURR_EMPLOYED,0.0006308667712397092
43,PW_SOURCE_NAME_OTHER_9089,0.0006191873067452199
12,ACCEPT_ALT_COMBO_EDUCATION_YRS,0.0005936987159561173
42,PW_SOURCE_NAME_9089,0.0005913756455895409
61,JOB_INFO_ALT_COMBO_ED_EXP,0.0005573072917024049
186,REQUIRED_EXPERIENCE,0.0005503376864023194
192,ACCEPT_FOREIGN_EDUCATION,0.0004995714477814836
41,PW_UNIT_OF_PAY_9089,0.0004922264036220795
254,FOREIGN_WORKER_REQ_EXPERIENCE,0.0004860668738713636
86,RI_2ND_AD_NEWSPAPER_OR_JOURNAL,0.00048576248338066215
48,WAGE_OFFER_UNIT_OF_PAY_9089,0.0004740534984982668
112,RI_US_WORKERS_CONSIDERED,0.0004430606519474302
195,JOB_OPP_REQUIREMENTS_NORMAL,0.0004429727461953622
62,JOB_INFO_ALT_COMBO_ED,0.0004342346956853529
120,FW_INFO_EDUCATION_OTHER,0.00042890025424839194
187,ACCEPT_ALT_FIELD_OF_STUDY,0.00041056670182221624
139,WAGE_OFFERED_TO_9089,0.0003988236322141818
169,PW_SOURCE_NAME_OTHER,0.0003963555057540689
189,ACCEPT_ALT_COMBO,0.0003951308980542186
68,JOB_INFO_FOREIGN_LANG_REQ,0.0003698169713799826
174,WAGE_OFFER_UNIT_OF_PAY,0.00035646015164634106
54,JOB_INFO_EDUCATION_OTHER,0.00031969450301793723
111,RI_LAYOFF_IN_PAST_SIX_MONTHS,0.0003150601055069198
135,RECR_INFO_BARG_REP_NOTIFIED,0.000314408876846485
78,RI_COLL_TEACH_SELECT_DATE,0.0003125339596765575
190,ACCEPT_ALT_COMBO_EDUCATION,0.00030039750521716866
255,FOREIGN_WORKER_ALT_ED_EXP,0.0002906308178050615
241,LAYOFF_IN_PAST_SIX_MONTHS,0.0002848992657136473
168,PW_WAGE_SOURCE,0.00027908928592910217
63,JOB_INFO_ALT_COMBO_ED_OTHER,0.00027888825303344536
9,AGENT_ATTORNEY_PHONE_EXT,0.00027758032731389017
32,FW_OWNERSHIP_INTEREST,0.00026305490270213324
228,PVT_EMPLOYMENT_FIRM_FROM_DATE,0.00026082050740073686
79,RI_COLL_TEACH_PRO_JNL,0.0002581617913855552
260,EMPLOYER_COMPLETED_APPLICATION,0.0002520547834853254
229,PVT_EMPLOYMENT_FIRM_TO_DATE,0.0002500657205936516
123,FW_INFO_TRAINING_COMP,0.0002497980180147358
245,FOREIGN_WORKER_EDUCATION_OTHER,0.00024130549384053371
110,RI_POSTED_NOTICE_AT_WORKSITE,0.00022559720615498386
57,JOB_INFO_TRAINING_FIELD,0.00020361480825712593
76,RECR_INFO_COLL_TEACH_COMP_PROC,0.00019314103071083562
167,PW_UNIT_OF_PAY,0.00019127651653898993
256,FOREIGN_WORKER_ALT_OCC_EXP,0.00017758924046764392
2,JOB_INFO_TRAINING_NUM_MONTHS,0.00016693935915034993
208,TEACHER_PUB_JOURNAL_NAME,0.00016621156118492713
10,REQUIRED_TRAINING_MONTHS,0.00016499442850375596
196,FOREIGN_LANGUAGE_REQUIRED,0.00016262618755340873
90,RECR_INFO_ON_CAMPUS_RECR_FROM,0.0001589998927242782
75,RECR_INFO_COLL_UNIV_TEACHER,0.0001551966926822138
56,JOB_INFO_TRAINING,0.000154675790216431
182,JOB_EDUCATION_MIN_OTHER,0.00015414902711188003
91,RECR_INFO_ON_CAMPUS_RECR_TO,0.00015314888201522264
209,ADD_RECRUIT_INFORMATION,0.00014964284223772812
207,TEACHER_SELECT_DATE,0.00014701775299484553
82,RECR_INFO_SUNDAY_NEWSPAPER,0.00014572141458702055
212,SUNDAY_EDITION_NEWSPAPER,0.00014371653486417834
257,FOREIGN_WORKER_EXP_WITH_EMPL,0.00013770160099236948
185,REQUIRED_FIELD_OF_TRAINING,0.0001363148465311142
191,ACCEPT_ALT_COMBO_ED_OTHER,0.0001304012242931141
109,REC_INFO_BARG_REP_NOTIFIED,0.00012851947102739778
161,AGENT_ATTORNEY_COUNTRY,0.00012752982639896643
239,BARGAINING_REP_NOTIFIED,0.00012463515067195002
184,REQUIRED_TRAINING,0.00011978317282561604
69,JOB_INFO_COMBO_OCCUPATION,0.00011563393716080925
140,JOB_INFO_ALT_COMBO_ED_EXP.1,9.97702182541303e-05
89,RECR_INFO_JOB_FAIR_TO,9.93128343666005e-05
88,RECR_INFO_JOB_FAIR_FROM,9.903652962179322e-05
204,APP_FOR_COLLEGE_U_TEACHER,9.128234885028759e-05
77,RI_COLL_TCH_BASIC_PROCESS,7.747749140510727e-05
220,ON_CAMPUS_RECRUITING_FROM_DATE,6.612858204462246e-05
20,ORIG_FILE_DATE,5.3171712787078265e-05
73,JI_LIVE_IN_DOM_SVC_CONTRACT,5.3032753143232644e-05
221,ON_CAMPUS_RECRUITING_TO_DATE,5.188122743721941e-05
218,JOB_FAIR_FROM_DATE,4.817750735696916e-05
216,SECOND_ADVERTISEMENT_TYPE,4.616725854208051e-05
7,JOB_INFO_TRANING_NUM_MONTHS,4.589349475854324e-05
205,COMPETITIVE_PROCESS,4.5622908969125416e-05
219,JOB_FAIR_TO_DATE,4.5252353854628534e-05
19,REFILE,4.141701128067934e-05
240,POSTED_NOTICE_AT_WORKSITE,3.9089246237236674e-05
198,COMBINATION_OCCUPATION,3.892734364648515e-05
200,FOREIGN_WORKER_LIVE_ON_PREM,3.469067517543138e-05
253,FOREIGN_WORKER_TRAINING_COMP,3.031925800617731e-05
134,JI_FW_LIVE_ON_PREMISES,2.9759762479120187e-05
21,ORIG_CASE_NO,2.7672145985321015e-05
258,FOREIGN_WORKER_EMPL_PAY_FOR_ED,2.5462101724013623e-05
206,BASIC_RECRUITMENT_PROCESS,1.6911224187506085e-05
72,JI_LIVE_IN_DOMESTIC_SERVICE,1.666216833564011e-05
201,FOREIGN_WORKER_LIVE_IN_DOM_SER,1.2344901721668641e-05
142,PREVIOUS_SWA_CASE_NUMBER_STATE,1.20984289314082e-05
133,JI_OFFERED_TO_SEC_J_FW,7.257182217962324e-06
242,US_WORKERS_CONSIDERED,3.5777584767616715e-06
199,OFFERED_TO_APPL_FOREIGN_WORKER,3.4886862654812034e-06
71,JI_FOREIGN_WORKER_LIVE_ON_PREMISES,2.4386362790031974e-06
150,EMP_CONTACT_COUNTRY,1.5847285153372596e-06
28,EMPLOYER_COUNTRY,1.2543209310072165e-06
22,SCHD_A_SHEEPHERDER,0.0
202,FOREIGN_WORKER_LIVE_IN_DOM_CNT,0.0
108,RECR_INFO_EMPLOYER_REC_PAYMENT,0.0
70,JI_OFFERED_TO_SEC_J_FOREIGN_WORKER,0.0
238,EMP_RECEIVED_PAYMENT,0.0
266,FOREIGN_WORKER_LIVE_IN_DOM_SVC_CNT,0.0
